,manufacturer,title,price,description
0,Harley Benton,DC-DLX Gotoh Pelham Bl B-Stock,£173,"B-Stock, Harley Benton DC-DLX Gotoh Pelham Blue Deluxe Series, electric guitar, Nyatoh body, set mahogany modern C-shape neck, Rosewood (Dalbergia lat..."
1,Harley Benton,Fusion-III HSS Roasted B-Stock,£277,"B-Stock, Harley Benton Fusion-III HSS Roasted DB Pro Series; ST-shape electric guitar; comfort body contour; body: nyatoh; neck: roasted Canadian hard..."
2,Harley Benton,Fusion-III HSS Roasted B-Stock,£260,"B-Stock, Harley Benton Fusion-III HSS Roasted Shell Pink Pro Series; ST-shape electric guitar; comfort body contour; body: nyatoh; neck: roasted Canad..."
3,Harley Benton,Dullahan-FT 24 Roasted B-Stock,£299,"Ergonomically shaped alder body
                                                            Bolt-on roasted flamed maple neck
                                                            Roasted maple fretboard"
4,Harley Benton,Fusion-T HH HT Roasted B-Stock,£359,"B-Stock, Harley Benton Fusion-T EMG HT Roasted SBK Pro Series; T-shape electric guitar; comfort body contour; body: Nyatoh (Palaquium spp); neck: roas..."
5,Harley Benton,SC-DLX Gotoh Black B-Stock,£251,"B-Stock, Harley Benton SC-DLX Gotoh Black Deluxe Series, electric guitar, weight relieved Nyatoh body with arched top and 7ply-binding, set mahogany m..."
6,Solar Guitars,GC1.6FR Killertone Fla B-Stock,"£1,135","B-Stock, Solar GC1. 6FR Killertone Flame Black Gloss; SC-style electric guitar; body: mahogany (meranti) with flame maple veneer; neck: mahogany (mera..."
7,Harley Benton,SC-DLX Gotoh Shell Pin B-Stock,£193,"B-Stock, Harley Benton SC-DLX Gotoh Shell Pink Deluxe Series, electric guitar, weight relieved Nyatoh body with arched top and 7ply-binding, set mahog..."
8,Harley Benton,Victory Active SBK B-Stock,£160,"B-Stock, Harley Benton Victory Active SBK; Standard Series; V-style electric guitar; Okoume body; Okoume set neck with modern C-shape; roseacer fretbo..."
9,Squier,Contemp Strat Special  B-Stock,£342,"B-Stock, Squier Contemporary Strat Special Vintage White; ST-Style Electric Guitar; Black Painted Headstock with Chrome Logo; Body: Poplar; Neck: Roas..."
10,Harley Benton,SC-DLX Gotoh Daphne Bl B-Stock,£216,"B-Stock, Harley Benton SC-DLX Gotoh Daphne Blue Deluxe Series, electric guitar, weight relieved Nyatoh body with arched top and 7ply-binding, set maho..."
11,PRS,SE Pauls Guitar DC B-Stock,£799,"B-Stock, PRS SE Pauls Guitar DC Faded Blue Burst, electric guitar, mahogany body (Khaya Ivorensis), figured maple top (violin top carve), mahogany nec..."
12,Harley Benton,DC-DLX Gotoh Black B-Stock,£199,"B-Stock, Harley Benton DC-DLX Gotoh Black Deluxe Series, electric guitar, Nyatoh body, set mahogany modern C-shape neck, Rosewood (Dalbergia latifolia..."
13,Harley Benton,SC-1000LH SBK Progr. B-Stock,£143,"Progressive line
                                                            Left-hand model
                                                            Mahogany body with arched top"
14,Harley Benton,SC-1000SBK Progressive B-Stock,£138,"Progressive line
                                                            Mahogany body with arched top
                                                            Set-in mahogany neck"
15,Chapman Guitars,ML2 Pro Azure Blue B-Stock,£922,"B-Stock, Chapman ML2 Pro Azure Blue, electric guitar, mahogany (Loropetalum Javanicum) body, curved flame maple top, set-through neck with volute roas..."
16,Legator,N7FP Iris Fade B-Stock,£819,"B-Stock, Legator N7FP Iris Fade; 7-String ST-Style Multiscale Electric Guitar, Multiscale; Body: Ash; Neck: roasted Maple; Fingerboard: Ebony (Diospyr..."
17,PRS,S2 McCarty SC594 FR B-Stock,"£1,777","B-Stock, PRS S2 McCarty SC594 FR Fire Red Burst, single cut electric guitar, mahogany body (khaya ivorensis), maple top, mahogany neck (Swietenia macr..."
18,Schecter,Sun Valley Super Shred B-Stock,"£1,190","B-Stock, Schecter Sun Valley Super Shredder Exotic Hardtail Ziricote, Electric guitar, Black Limba body, Ziricote top, Ebony fretboard, Wenge neck wit..."
19,Harley Benton,DC-DLX Gotoh Shell Pin B-Stock,£159,"B-Stock, Harley Benton DC-DLX Gotoh Shell Pink Series, electric guitar, Nyatoh body, set mahogany modern C-shape neck, Rosewood (Dalbergia latifolia) ..."
20,Harley Benton,DC-60 Junior Pelham Bl B-Stock,£138,"B-Stock, Harley Benton DC-60 Junior Pelham Blue, Vintage Series; double cut electric guitar; body: mahogany; neck: mahogany; fingerboard: amaranth; ne..."
21,Harley Benton,Fusion-III HSS Roasted B-Stock,£311,"B-Stock, Harley Benton Fusion-III HSS Roasted FNT; st-style electric guitar; pro series; comfort body contour; body: nyatoh; neck: canadian roasted ma..."
22,Harley Benton,DC-LTD Gotoh Daphne Bl B-Stock,£160,"B-Stock, Harley benton DC-LTD Gotoh Daphne Blue; electric guitar; limited edition; deluxe series; body: nyatoh; neck: mahogany; neck form: c; fingerbo..."
23,PRS,SE Hollowbody II Piezo B-Stock,"£1,018","B-Stock, PRS SE Hollowbody II Piezo BG Black Gold Burst, electric guitar, flamed maple body and top (laminated), mahogany body (Khaya Ivorensis), maho..."
24,Harley Benton,Fusion-III HSH Roasted B-Stock,£289,"B-Stock, Harley Benton Fusion-III HSH Roasted FBLB Trans Flamed Blue Burst; pro series, st-style electric guitar; comfort body contour with matched he..."
